,s_len,s_width,p_len,p_width,Type
99,6.3,0.5555555560000001,2.8,0.333333333,setosa
68,7.1,0.7777777779999999,3.0,0.41666666700000005,setosa
69,6.3,0.5555555560000001,2.9,0.375,setosa
70,6.5,0.611111111,3.0,0.41666666700000005,setosa
71,7.6,0.916666667,3.0,0.41666666700000005,setosa
72,4.9,0.166666667,2.5,0.208333333,setosa
73,7.3,0.833333333,2.9,0.375,setosa
75,7.2,0.805555556,3.6,0.666666667,setosa
76,6.5,0.611111111,3.2,0.5,setosa
77,6.4,0.583333333,2.7,0.291666667,setosa
78,6.8,0.694444444,3.0,0.41666666700000005,setosa
79,5.7,0.38888888899999996,2.5,0.208333333,setosa
80,5.8,0.41666666700000005,2.8,0.333333333,setosa
81,6.4,0.583333333,3.2,0.5,setosa
82,6.5,0.611111111,3.0,0.41666666700000005,setosa
74,6.7,0.666666667,2.5,0.208333333,setosa
84,7.7,0.944444444,2.6,0.25,setosa
83,7.7,0.944444444,3.8,0.75,setosa
97,7.9,0.9999,3.8,0.75,setosa
96,7.4,0.8611111109999999,2.8,0.333333333,setosa
95,7.2,0.805555556,3.0,0.41666666700000005,setosa
94,6.4,0.583333333,2.8,0.333333333,setosa
93,6.1,0.5,3.0,0.41666666700000005,setosa
92,6.2,0.5277777779999999,2.8,0.333333333,setosa
98,6.4,0.583333333,2.8,0.333333333,setosa
91,7.2,0.805555556,3.2,0.5,setosa
90,6.7,0.666666667,3.3,0.541666667,setosa
89,6.3,0.5555555560000001,2.7,0.291666667,setosa
88,7.7,0.944444444,2.8,0.333333333,setosa
87,5.6,0.36111111100000004,2.8,0.333333333,setosa
86,6.9,0.7222222220000001,3.2,0.5,setosa
85,6.0,0.472222222,2.2,0.083333333,setosa
51,5.6,0.36111111100000004,2.5,0.208333333,versicolor
52,5.9,0.444444444,3.2,0.5,versicolor
53,6.1,0.5,2.8,0.333333333,versicolor
54,6.3,0.5555555560000001,2.5,0.208333333,versicolor
55,6.1,0.5,2.8,0.333333333,versicolor
56,6.4,0.583333333,2.9,0.375,versicolor
57,6.6,0.638888889,3.0,0.41666666700000005,versicolor
58,6.8,0.694444444,2.8,0.333333333,versicolor
61,5.7,0.38888888899999996,2.6,0.25,versicolor
60,6.0,0.472222222,2.9,0.375,versicolor
50,6.2,0.5277777779999999,2.2,0.083333333,versicolor
62,5.5,0.333333333,2.4,0.166666667,versicolor
63,5.5,0.333333333,2.4,0.166666667,versicolor
64,5.8,0.41666666700000005,2.7,0.291666667,versicolor
65,6.0,0.472222222,2.7,0.291666667,versicolor
67,5.8,0.41666666700000005,2.7,0.291666667,versicolor
59,6.7,0.666666667,3.0,0.41666666700000005,versicolor
66,6.3,0.5555555560000001,3.3,0.541666667,versicolor
49,5.8,0.41666666700000005,2.7,0.291666667,versicolor
47,6.7,0.666666667,3.1,0.45833333299999995,versicolor
48,5.6,0.36111111100000004,3.0,0.41666666700000005,versicolor
34,6.9,0.7222222220000001,3.1,0.45833333299999995,versicolor
35,5.5,0.333333333,2.3,0.125,versicolor
36,6.5,0.611111111,2.8,0.333333333,versicolor
38,6.3,0.5555555560000001,3.3,0.541666667,versicolor
39,4.9,0.166666667,2.4,0.166666667,versicolor
37,5.7,0.38888888899999996,2.8,0.333333333,versicolor
41,5.2,0.25,2.7,0.291666667,versicolor
42,5.0,0.194444444,2.0,0.01,versicolor
43,5.9,0.444444444,3.0,0.41666666700000005,versicolor
44,6.0,0.472222222,2.2,0.083333333,versicolor
45,6.1,0.5,2.9,0.375,versicolor
46,5.6,0.36111111100000004,2.9,0.375,versicolor
40,6.6,0.638888889,2.9,0.375,versicolor
10,5.4,0.305555556,3.7,0.708333333,virginica
14,5.8,0.41666666700000005,4.0,0.833333333,virginica
13,4.3,0.01,3.0,0.41666666700000005,virginica
12,4.8,0.13888888900000002,3.0,0.41666666700000005,virginica
11,4.8,0.13888888900000002,3.4,0.583333333,virginica
9,4.9,0.166666667,3.1,0.45833333299999995,virginica
2,4.7,0.111111111,3.2,0.5,virginica
7,5.0,0.194444444,3.4,0.583333333,virginica
6,4.6,0.083333333,3.4,0.583333333,virginica
5,5.4,0.305555556,3.9,0.791666667,virginica
4,5.0,0.194444444,3.6,0.666666667,virginica
3,4.6,0.083333333,3.1,0.45833333299999995,virginica
15,5.7,0.38888888899999996,4.4,0.9999,virginica
1,4.9,0.166666667,3.0,0.41666666700000005,virginica
8,4.4,0.027777778,2.9,0.375,virginica
16,5.4,0.305555556,3.9,0.791666667,virginica
23,5.1,0.222222222,3.3,0.541666667,virginica
18,5.7,0.38888888899999996,3.8,0.75,virginica
33,6.4,0.583333333,3.2,0.5,virginica
32,7.0,0.75,3.2,0.5,virginica
31,5.4,0.305555556,3.4,0.583333333,virginica
30,4.8,0.13888888900000002,3.1,0.45833333299999995,virginica
29,4.7,0.111111111,3.2,0.5,virginica
28,5.2,0.25,3.4,0.583333333,virginica
17,5.1,0.222222222,3.5,0.625,virginica
27,5.2,0.25,3.5,0.625,virginica
25,5.0,0.194444444,3.0,0.41666666700000005,virginica
24,4.8,0.13888888900000002,3.4,0.583333333,virginica
22,4.6,0.083333333,3.6,0.666666667,virginica
21,5.1,0.222222222,3.7,0.708333333,virginica
20,5.4,0.305555556,3.4,0.583333333,virginica
19,5.1,0.222222222,3.8,0.75,virginica
26,5.0,0.194444444,3.4,0.583333333,virginica
0,5.1,0.222222222,3.5,0.625,virginica
